Name,Air Date,Description,Rating,Votes
S1.E1 ∙ He Appears! Naruto Uzumaki,"Sat, Sep 10, 2005","Welcome to Konoha, where deadly ninja roam the land and the mischievous Naruto Uzumaki causes trouble everywhere he goes. But when he steals the ancient scroll of sealing, he unleashes a rare power rarely seen in a 12-year-old boy.",7.9,(2.3K)
S1.E2 ∙ My Name is Konohamaru!,"Sat, Sep 10, 2005","Naruto finally graduates from the Ninja Academy and claims to know it all. Well, at least that's what he tells Konohamaru, Konoha's Hokage grandson.",7.0,(1.6K)
S1.E3 ∙ Shukuteki!? Sasuke to Sakura,"Sat, Sep 17, 2005","On the way to becoming a ninja, Naruto must team up with his classmates, the pretty Sakura and the pretty serious Sasuke, whose common bond is that they both hate Naruto. So Naruto will try a different approach.",7.2,(1.5K)
S1.E4 ∙ Shiren! Sabaibaru enshû,"Sat, Sep 24, 2005","The recently formed Team 7 (Naruto, Sakura and Sasuke) meet their instructor, Hatake Kakashi, and begin training to see if they pass to the next stage of ninja training. Kakashi tells them to engage in the following exercise: try and take two bells away from him using their ninja knowledge.",7.8,(1.5K)
S1.E5 ∙ Shikkaku? Kakashi no ketsuron,"Sat, Oct 1, 2005","With the threat of failure hanging over their heads, Naruto, Sasuke and Sakura try everything they know to pass the grueling survival test. But it will take some wise advice from Kakashi to teach these selfish ninja a thing or two about teamwork.",8.0,(1.5K)
S1.E6 ∙ Jûyô ninmu! Nami no kuni e chô shuppatsu!,"Sat, Oct 8, 2005","Naruto and his squad start their first ninja missions with boring and menial tasks. Weary and angry, Naruto vents his frustration at the Hokage. Amused by Naruto's excitement, he gives them a new mission, to protect a grumpy old man named Tazuna as he returns to his home!",7.3,(1.3K)
S1.E7 ∙ Kiri no asashin!,"Sat, Oct 15, 2005","Naruto and his squad arrive in the Land of the Waves and learn that an evil businessman named Gato has taken over the land. Zabuza Momochi appears, hired by Gato to kill Tazuna. Excited and ready to attack, Naruto can't wait to take on this powerful ninja assassin. Will he be up to the challenge?!",7.7,(1.3K)
S1.E8 ∙ Itami ni chikau ketsui,"Sat, Oct 22, 2005","Kakashi has the upper hand in his battle with Zabuza. But the tide turns when Kakashi is trapped inside Zabuza's Water Prison! Kakashi urges the squad to flee, but Naruto remembers the pledge he made--to never run away again--and holds his ground!!",7.9,(1.4K)
S1.E9 ∙ Sharingan no Kakashi,"Thu, Nov 28, 2002","Thanks to Naruto's ingenious plan, Kakashi is freed from the water prison. Kakashi is ready to use his Sharingan against Zabuza.",7.9,(1.3K)
S1.E10 ∙ Chakura no mori,"Thu, Dec 5, 2002","Recuperating at Tazuna's house, Kakashi is dissatisfied with the outcome of the battle. He concludes that Zabuza isn't dead and the young tracking ninja helped Zabuza escape! Kakashi decides to implement some interesting training that will allow Naruto, Sasuke and Sakura to better control their chakra!",7.1,(1.2K)
S1.E11 ∙ Eiyû no ita kuni,"Thu, Dec 12, 2002","Sakura goes into town with Tazuna and sees the hardships that the people of the Land of Waves suffer under Gato's rule. This is the reason Tazuna is risking his life to build a bridge that crosses the ocean. With a bridge that gives everyone access to other lands, people will no longer have to rely on Gato, who controls all imports. Meanwhile, Naruto and Sasuke continue to train, using chakra to climb a tree.",7.1,(1.2K)
S1.E12 ∙ Kyôjô kessen! Zabuza futatabi!!,"Thu, Dec 19, 2002","While Naruto concentrates on the training to control his chakra, a mysterious person suddenly appears before him. The person tells Naruto that as long as one has the desire to protect what he loves, there is no limit to becoming stronger. The mysterious figure echoes the sentiment inside Naruto and the two feel a sense of connection.",7.3,(1.2K)
S1.E13 ∙ Haku no hijutsu: Makyô hyôshô,"Thu, Dec 26, 2002","Once again, the time has come to fight Zabuza, and this time he's got company -- the tracking ninja who supposedly killed him. Zabuza and his companion take notice of Sasuke's abilities, and Sasuke in turn realizes the immense power that the masked ninja holds. As if they were meant to fight each other, Sasuke and the masked ninja begin to battle.",7.7,(1.2K)
"S1.E14 ∙ Igaisei No.1, Naruto sansen!","Thu, Jan 9, 2003","Sasuke finds himself in a pinch inside of Haku's Crystal Ice Mirrors, but Naruto comes to the rescue. But Sasuke has a plan to counter Haku's jutsu with attacks from both the inside and outside the Crystal Ice Mirrors, and Naruto's unexpected action ruins Sasuke's strategy. Eventually, both young ninja are trapped.",7.1,(1.2K)
S1.E15 ∙ Shikai zero no tatakai Sharingan kuzushi,"Thu, Jan 16, 2003","Realizing time is of the essence, Kakashi decides to use the Sharingan once again to defeat Zabuza.",7.6,(1.2K)
S1.E16 ∙ Kaihôsareta fûin,"Thu, Jan 23, 2003","Naruto and Sasuke continue to receive punishing attacks from within Haku's Crystal Ice Mirrors. Naruto can no longer stand on his feet. But during the intense battle, Sasuke starts to realize the power of his own Sharingan and gradually starts to elude Haku's assault. Haku decides to finish them off immediately. Sasuke is caught off guard by Haku's action and uses his own body to shield Naruto...",8.3,(1.3K)
S1.E17 ∙ Shiroi kako: Himeta omoi,"Thu, Jan 30, 2003","Naruto finally explodes. His anger against Haku, who defeated Sasuke, unleashes the power of the Kyûbi. Naruto's chakra becomes so intense that even Kakashi and Zabuza, fighting in the distance, take notice. Haku is unable to do anything in the face of Naruto's hidden power.",8.1,(1.3K)
S1.E18 ∙ Shinobi to iu na no dôgu,"Thu, Feb 6, 2003","Haku tells the hesitant Naruto to finish him off. Naruto strongly questions Haku's philosophy of existing only to fight and win. Meanwhile, the battle between Kakashi and Zabuza approaches its climax. Zabuza's movement is restrained by Kakashi's Summoning Jutsu. With victory within his grasp, Kakashi unleashes his most devastating maneuver.",8.0,(1.2K)
S1.E19 ∙ The Demon in the Snow,"Thu, Feb 13, 2003","Zabuza is no longer Kakashi's enemy, and thanks to a little speech by Naruto about how ninja are, Zabuza takes on Gato's men single handily. The Demon of the Hidden Mist takes his vengeance on Gato and all of those dumb enough to follow him, and apologizes to Haku for what he did to the kind little boy. After the group takes care of the rest of Gato's men, Zabuza asks Kakashi one final request, to see Haku one final time. This is Zabuza's requiem.",9.0,(2.1K)
S1.E20 ∙ Shinshô totsunyû! Chûnin shiken dattebayo,"Thu, Feb 20, 2003","With their latest mission complete, it's time once again for the group to go back to mediocre missions. After all are done, Konohamaru and his friends pay a visit to Naruto. All which result in being chased by Sakura. Everyone is soon over though, as two mysterious ninja block their way, and one of them isn't too happy with Konohamaru. Sasuke arrives to save the day, but the leader of the group shows up, with stealth skills that surprise even Sasuke. Meanwhile, the Third Hokage announces that it's time once again for the Chuunin selection exams.",7.0,(1.1K)
S1.E21 ∙ Nanore! Arawareta kyôteki tachi!!,"Thu, Feb 27, 2003","After the three ninjas take their leave, Sasuke realizes he has a powerful rival out there. The next day, Kakashi announces that he has recommended all of them for the Chuunin Exams. While Naruto and Sasuke are pleased, Sakura is afraid of letting everyone down. Also, someone decides they aren't ready and decides to test their abilities.",7.2,(1.1K)
S1.E22 ∙ Kiai 120% nau de Rokku na chôsen-jô!,"Thu, Mar 6, 2003",The eccentric Rock Lee challenges Uchiha Sasuke to a battle before the Chuunin Exam begins.,7.5,(1.1K)
S1.E23 ∙ Kechirase raibaru! Rûkî 9 zenin shûgô,"Thu, Mar 13, 2003",All Konoha Genins are put to an introductory test to determine who will continue on in the actual exam.,7.2,(1K)
S1.E24 ∙ Ikinari shikkaku? Chô nankan no dai ichi shiken,"Thu, Mar 20, 2003",All Genins meet together and begin a written test as part of the first Chuunin Exam.,7.9,(1.1K)
S1.E25 ∙ Deta toko shôbu! Funbari dokoro no 10 monme,"Thu, Mar 27, 2003",The Genins work on gathering information furtively while worries over the tenth question surface.,7.9,(1.1K)
S1.E26 ∙ Zettai hikken! Shi no mori chokuzen rupo! Konoha no gakkyû shinbun da kore!,"Wed, Apr 2, 2003",A Naruto Special which recaps the previous 25 episodes and sets the stage for the second Chunnin exam.,4.5,(963)
S1.E27 ∙ Daini shiken sutâto! Mawari wa min'na teki darake!,"Wed, Apr 2, 2003",The second Chuunin Exam begins as the Genins start their search for two scrolls to enable them to finish the second Exam.,7.4,(1K)
S1.E28 ∙ Kû ka kuwareru ka! Esa ni natta Naruto,"Wed, Apr 9, 2003","The Genin teams continue their search for the two scrolls in the Forest of Death. Meanwhile, Team 7 is sidetracked by a powerful enemy.",8.0,(1.1K)
S1.E29 ∙ Naruto hangeki! Nigenên dattebayo!,"Wed, Apr 16, 2003",Naruto and the rest of Team 7 continue their fight against their ruthless enemy in the Shi no Mori.,8.2,(1.1K)
S1.E30 ∙ Yomigaere Sharingan! Hissatsu: Katon - Ryûka no jutsu!,"Wed, Apr 23, 2003","Sasuke finally recovers his will to fight and receives a dangerous ""present"" from Orochimaru. The emergency surrounding Orochimaru in Konoha spreads to village officials.",8.5,(1.2K)
S1.E31 ∙ Geki mayu puratonikku! Boku wa shinu made anata o mamoru!!,"Wed, Apr 30, 2003",Rock Lee and Sakura must defeat the Sound Genin in order to protect Naruto and Sasuke.,7.6,(1K)
S1.E32 ∙ Sakura saku! Ketsui no ushirosugata,"Wed, May 7, 2003",The Sound Ninja attack incapacitated Team 7 and Sakura is left to fight them all.,8.0,(1.1K)
S1.E33 ∙ Muteki no fômêshon! InoShikaChô!!,"Wed, May 14, 2003",Team 10 gains the courage to help Sakura defeat the Sound Genin.,8.2,(1.1K)
"S1.E34 ∙ Akamaru bikkuri! Gaara, kyôi no jitsuryoku","Wed, May 21, 2003",The other Genin teams continue their search for the scrolls and Gaara's power is revealed to Team 8.,7.7,(999)
S1.E35 ∙ Nozoki mi genkin! Maki mono no himitsu,"Wed, May 28, 2003",Naruto muses peeking into his team's scroll and Kabuto joins Team 7 in order to reach the tower in the center of the Forest of Death.,7.0,(969)
S1.E36 ∙ Bunshin taiketsu! Ore ga shuyaku dattebayo!,"Wed, Jun 4, 2003",Team 7 and Kabuto engage the Rain ninja after breaking through the Rain ninjas' illusionary technique.,7.4,(971)
